gravity = -0.350000, wind = -0.050000
i = 99, p_x= -312.865051, p_y = -7.800035, p_z = 342.500000, v_x= -0.137500, v_y = -0.930001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 100, p_x= -313.002563, p_y = -8.730036, p_z = 342.750000, v_x= -0.140000, v_y = -0.947501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 101, p_x= -313.142578, p_y = -9.677537, p_z = 343.000000, v_x= -0.142500, v_y = -0.965001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 102, p_x= -313.285065, p_y = -10.642538, p_z = 343.250000, v_x= -0.145000, v_y = -0.982501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 103, p_x= -313.430054, p_y = -11.625039, p_z = 343.500000, v_x= -0.147500, v_y = -1.000001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 104, p_x= -313.577545, p_y = -12.625040, p_z = 343.750000, v_x= -0.150000, v_y = -1.017501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 105, p_x= -313.727539, p_y = -13.642541, p_z = 344.000000, v_x= -0.152500, v_y = -1.035001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 106, p_x= -313.880035, p_y = -14.677542, p_z = 344.250000, v_x= -0.155000, v_y = -1.052501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 107, p_x= -314.035034, p_y = -15.730042, p_z = 344.500000, v_x= -0.157500, v_y = -1.070001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 108, p_x= -314.192535, p_y = -16.800043, p_z = 344.750000, v_x= -0.160000, v_y = -1.087501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 109, p_x= -314.352539, p_y = -17.887545, p_z = 345.000000, v_x= -0.162500, v_y = -1.105001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

